src_node,dest_node,nodes,links,distance,num_hops
0,1,"[0, 3, 1]","[1, 7]",62.24,2
0,1,"[0, 2, 4, 1]","[0, 14, 8]",115.91,3
0,1,"[0, 3, 5, 4, 1]","[1, 18, 24, 8]",181.45,4
0,1,"[0, 2, 4, 5, 3, 1]","[0, 14, 24, 18, 7]",202.9,5
0,5,"[0, 3, 5]","[1, 18]",63.53,2
0,5,"[0, 2, 4, 5]","[0, 14, 24]",129.32999999999998,3
0,5,"[0, 3, 1, 4, 5]","[1, 7, 8, 24]",180.16,4
0,5,"[0, 2, 4, 1, 3, 5]","[0, 14, 8, 7, 18]",189.47999999999996,5
2,1,"[2, 4, 1]","[14, 8]",81.58,2
2,1,"[2, 0, 3, 1]","[0, 1, 7]",96.57,3
2,1,"[2, 4, 5, 3, 1]","[14, 24, 18, 7]",168.57,4
2,1,"[2, 0, 3, 5, 4, 1]","[0, 1, 18, 24, 8]",215.77999999999997,5
2,5,"[2, 4, 5]","[14, 24]",95.0,2
2,5,"[2, 0, 3, 5]","[0, 1, 18]",97.86,3
2,5,"[2, 4, 1, 3, 5]","[14, 8, 7, 18]",155.14999999999998,4
2,5,"[2, 0, 3, 1, 4, 5]","[0, 1, 7, 8, 24]",214.49,5
3,1,"[3, 1]",[7],36.14,1
3,1,"[3, 0, 2, 4, 1]","[1, 0, 14, 8]",142.01,4
3,1,"[3, 5, 4, 1]","[18, 24, 8]",155.35,3
3,5,"[3, 5]",[18],37.43,1
3,5,"[3, 1, 4, 5]","[7, 8, 24]",154.06,3
3,5,"[3, 0, 2, 4, 5]","[1, 0, 14, 24]",155.43,4
4,1,"[4, 1]",[8],52.25,1
4,1,"[4, 2, 0, 3, 1]","[14, 0, 1, 7]",125.89999999999999,4
4,1,"[4, 5, 3, 1]","[24, 18, 7]",139.24,3
4,5,"[4, 5]",[24],65.67,1
4,5,"[4, 1, 3, 5]","[8, 7, 18]",125.82,3
4,5,"[4, 2, 0, 3, 5]","[14, 0, 1, 18]",127.18999999999998,4
